airline,airline_sentiment,text
Delta,negative,Worst experience of my life. Flight delayed by 4 hours. @Delta #awful
American,neutral,Boarding was standard. @American
Delta,neutral,Just another flight. @Delta
Southwest,neutral,Arrived on time. Standard experience. @Southwest
American,negative,The staff was incredibly rude and unhelpful. @American #awful
American,neutral,Arrived on time. Standard experience. @American
Virgin America,neutral,"Flight was okay, nothing special. @VirginAmerica"
Virgin America,positive,Love the in-flight entertainment. @VirginAmerica #amazing
US Airways,positive,Great customer service at the gate. @USAirways #amazing
Virgin America,negative,"Food was awful, could not eat anything. @VirginAmerica #awful"
United,negative,Seats are too small and uncomfortable. @United #awful
Delta,negative,"Food was awful, could not eat anything. @Delta #awful"
American,negative,"Food was awful, could not eat anything. @American #awful"
US Airways,negative,The staff was incredibly rude and unhelpful. @USAirways #awful
Delta,positive,Very comfortable seats and plenty of legroom. @Delta #amazing
Virgin America,neutral,Got from A to B safely. @VirginAmerica
Delta,positive,Super fast and efficient boarding process. Loved it! @Delta #amazing
Delta,negative,Why is my flight always delayed without any notice? @Delta #awful
US Airways,neutral,Just another flight. @USAirways
United,negative,"Horrible boarding process, chaotic and stressful. @United #awful"
Delta,positive,Smooth landing and great pilot. @Delta #amazing
Virgin America,negative,Never flying with you again. Absolutely terrible. @VirginAmerica #awful
Delta,positive,I had a wonderful flight experience today! The crew was so polite. @Delta #amazing
US Airways,positive,The food was surprisingly good. @USAirways #amazing
Southwest,neutral,Average service. Could be better. @Southwest
American,positive,Smooth landing and great pilot. @American #amazing
Southwest,neutral,Arrived on time. Standard experience. @Southwest
United,neutral,"Flight was okay, nothing special. @United"
Virgin America,negative,Never flying with you again. Absolutely terrible. @VirginAmerica #awful
US Airways,neutral,"Flight was okay, nothing special. @USAirways"
United,positive,Smooth landing and great pilot. @United #amazing
US Airways,negative,The staff was incredibly rude and unhelpful. @USAirways #awful
Delta,positive,Love the in-flight entertainment. @Delta #amazing
Virgin America,neutral,Boarding was standard. @VirginAmerica
Delta,neutral,Just another flight. @Delta
Southwest,negative,Lost my luggage again... extremely disappointed. @Southwest #awful
Southwest,neutral,"Flight was okay, nothing special. @Southwest"
United,positive,Best flight ever. Will fly with you again. @United #amazing
Southwest,positive,Super fast and efficient boarding process. Loved it! @Southwest #amazing
Virgin America,neutral,Just another flight. @VirginAmerica
US Airways,neutral,"Food was okay, pretty standard for airline food. @USAirways"
Southwest,neutral,"Flight was okay, nothing special. @Southwest"
Virgin America,neutral,Just another flight. @VirginAmerica
Delta,positive,Thank you for the amazing service. @Delta #amazing
US Airways,negative,Why is my flight always delayed without any notice? @USAirways #awful
United,negative,Terrible customer service on the phone. @United #awful
Delta,negative,Lost my luggage again... extremely disappointed. @Delta #awful
Southwest,neutral,Just another flight. @Southwest
Delta,neutral,Average service. Could be better. @Delta
Southwest,neutral,Average service. Could be better. @Southwest
Southwest,neutral,"Flight was okay, nothing special. @Southwest"
Virgin America,neutral,"Flight was okay, nothing special. @VirginAmerica"
US Airways,neutral,Just another flight. @USAirways
Virgin America,positive,I had a wonderful flight experience today! The crew was so polite. @VirginAmerica #amazing
Delta,neutral,Arrived on time. Standard experience. @Delta
Southwest,neutral,Boarding was standard. @Southwest
Virgin America,neutral,Got from A to B safely. @VirginAmerica
Virgin America,negative,Why is my flight always delayed without any notice? @VirginAmerica #awful
Delta,positive,Very comfortable seats and plenty of legroom. @Delta #amazing
US Airways,positive,Great customer service at the gate. @USAirways #amazing
US Airways,negative,Worst experience of my life. Flight delayed by 4 hours. @USAirways #awful
US Airways,neutral,"Food was okay, pretty standard for airline food. @USAirways"
US Airways,negative,Terrible customer service on the phone. @USAirways #awful
Southwest,neutral,Just another flight. @Southwest
United,negative,Why is my flight always delayed without any notice? @United #awful
US Airways,negative,"Food was awful, could not eat anything. @USAirways #awful"
Virgin America,negative,Why is my flight always delayed without any notice? @VirginAmerica #awful
Delta,neutral,"Food was okay, pretty standard for airline food. @Delta"
Southwest,positive,Very comfortable seats and plenty of legroom. @Southwest #amazing
Delta,neutral,Got from A to B safely. @Delta
United,positive,Thank you for the amazing service. @United #amazing
American,positive,Great customer service at the gate. @American #amazing
Virgin America,neutral,Arrived on time. Standard experience. @VirginAmerica
Virgin America,negative,Seats are too small and uncomfortable. @VirginAmerica #awful
Southwest,negative,"Horrible boarding process, chaotic and stressful. @Southwest #awful"
American,neutral,Arrived on time. Standard experience. @American
American,negative,Lost my luggage again... extremely disappointed. @American #awful
United,positive,Great customer service at the gate. @United #amazing
Southwest,neutral,Just another flight. @Southwest
Virgin America,neutral,Boarding was standard. @VirginAmerica
Virgin America,positive,Great customer service at the gate. @VirginAmerica #amazing
Virgin America,positive,I had a wonderful flight experience today! The crew was so polite. @VirginAmerica #amazing
Southwest,positive,The food was surprisingly good. @Southwest #amazing
Virgin America,negative,Never flying with you again. Absolutely terrible. @VirginAmerica #awful
Delta,positive,Best flight ever. Will fly with you again. @Delta #amazing
US Airways,positive,Smooth landing and great pilot. @USAirways #amazing
United,neutral,Arrived on time. Standard experience. @United
Southwest,positive,Thank you for the amazing service. @Southwest #amazing
American,negative,Lost my luggage again... extremely disappointed. @American #awful
United,neutral,Average service. Could be better. @United
US Airways,negative,"Horrible boarding process, chaotic and stressful. @USAirways #awful"
Delta,positive,Smooth landing and great pilot. @Delta #amazing
Virgin America,neutral,Boarding was standard. @VirginAmerica
Virgin America,neutral,"Food was okay, pretty standard for airline food. @VirginAmerica"
American,negative,"Food was awful, could not eat anything. @American #awful"
US Airways,neutral,Boarding was standard. @USAirways
United,neutral,"Flight was okay, nothing special. @United"
Virgin America,neutral,Got from A to B safely. @VirginAmerica
Delta,negative,Seats are too small and uncomfortable. @Delta #awful
Delta,positive,Very comfortable seats and plenty of legroom. @Delta #amazing
American,neutral,"Flight was okay, nothing special. @American"
United,neutral,Arrived on time. Standard experience. @United
Delta,negative,Terrible customer service on the phone. @Delta #awful
Delta,neutral,"Flight was okay, nothing special. @Delta"
Virgin America,neutral,Boarding was standard. @VirginAmerica
US Airways,positive,Thank you for the amazing service. @USAirways #amazing
Southwest,positive,Thank you for the amazing service. @Southwest #amazing
American,neutral,"Flight was okay, nothing special. @American"
United,negative,Worst experience of my life. Flight delayed by 4 hours. @United #awful
US Airways,positive,The food was surprisingly good. @USAirways #amazing
Southwest,neutral,"Food was okay, pretty standard for airline food. @Southwest"
Virgin America,negative,"Horrible boarding process, chaotic and stressful. @VirginAmerica #awful"
United,negative,Why is my flight always delayed without any notice? @United #awful
Delta,positive,Love the in-flight entertainment. @Delta #amazing
Delta,negative,"Food was awful, could not eat anything. @Delta #awful"
American,positive,Smooth landing and great pilot. @American #amazing
American,positive,Super fast and efficient boarding process. Loved it! @American #amazing
Delta,neutral,Just another flight. @Delta
Southwest,positive,Very comfortable seats and plenty of legroom. @Southwest #amazing
US Airways,neutral,Arrived on time. Standard experience. @USAirways
Delta,neutral,"Flight was okay, nothing special. @Delta"
Virgin America,negative,Terrible customer service on the phone. @VirginAmerica #awful
Delta,negative,Lost my luggage again... extremely disappointed. @Delta #awful
Virgin America,negative,The staff was incredibly rude and unhelpful. @VirginAmerica #awful
American,positive,Super fast and efficient boarding process. Loved it! @American #amazing
Delta,neutral,"Food was okay, pretty standard for airline food. @Delta"
American,positive,I had a wonderful flight experience today! The crew was so polite. @American #amazing
United,negative,"Horrible boarding process, chaotic and stressful. @United #awful"
US Airways,neutral,Got from A to B safely. @USAirways
American,negative,Seats are too small and uncomfortable. @American #awful
Virgin America,positive,I had a wonderful flight experience today! The crew was so polite. @VirginAmerica #amazing
Southwest,neutral,"Flight was okay, nothing special. @Southwest"
United,negative,Never flying with you again. Absolutely terrible. @United #awful
United,positive,Great customer service at the gate. @United #amazing
US Airways,negative,Worst experience of my life. Flight delayed by 4 hours. @USAirways #awful
Southwest,positive,I had a wonderful flight experience today! The crew was so polite. @Southwest #amazing
United,positive,Thank you for the amazing service. @United #amazing
Southwest,positive,I had a wonderful flight experience today! The crew was so polite. @Southwest #amazing
United,positive,Very comfortable seats and plenty of legroom. @United #amazing
American,positive,Super fast and efficient boarding process. Loved it! @American #amazing
Southwest,neutral,Boarding was standard. @Southwest
Southwest,negative,The staff was incredibly rude and unhelpful. @Southwest #awful
Virgin America,negative,Never flying with you again. Absolutely terrible. @VirginAmerica #awful
Delta,negative,The staff was incredibly rude and unhelpful. @Delta #awful
Delta,positive,Very comfortable seats and plenty of legroom. @Delta #amazing
Southwest,positive,Smooth landing and great pilot. @Southwest #amazing
Virgin America,positive,I had a wonderful flight experience today! The crew was so polite. @VirginAmerica #amazing
Virgin America,neutral,Just another flight. @VirginAmerica
Delta,negative,Seats are too small and uncomfortable. @Delta #awful
United,neutral,Average service. Could be better. @United
Delta,negative,"Food was awful, could not eat anything. @Delta #awful"
Southwest,negative,"Horrible boarding process, chaotic and stressful. @Southwest #awful"
Southwest,positive,I had a wonderful flight experience today! The crew was so polite. @Southwest #amazing
Southwest,negative,Never flying with you again. Absolutely terrible. @Southwest #awful
United,positive,Very comfortable seats and plenty of legroom. @United #amazing
American,neutral,Got from A to B safely. @American
Southwest,negative,Terrible customer service on the phone. @Southwest #awful
American,negative,"Horrible boarding process, chaotic and stressful. @American #awful"
United,negative,"Food was awful, could not eat anything. @United #awful"
American,negative,The staff was incredibly rude and unhelpful. @American #awful
US Airways,neutral,"Flight was okay, nothing special. @USAirways"
Virgin America,positive,Super fast and efficient boarding process. Loved it! @VirginAmerica #amazing
Southwest,positive,Super fast and efficient boarding process. Loved it! @Southwest #amazing
Delta,neutral,Boarding was standard. @Delta
Delta,neutral,Average service. Could be better. @Delta
Southwest,neutral,"Flight was okay, nothing special. @Southwest"
US Airways,positive,Very comfortable seats and plenty of legroom. @USAirways #amazing
American,positive,Best flight ever. Will fly with you again. @American #amazing
United,neutral,Arrived on time. Standard experience. @United
Southwest,positive,I had a wonderful flight experience today! The crew was so polite. @Southwest #amazing
Virgin America,neutral,"Flight was okay, nothing special. @VirginAmerica"
American,negative,Worst experience of my life. Flight delayed by 4 hours. @American #awful
Southwest,positive,Thank you for the amazing service. @Southwest #amazing
US Airways,positive,Thank you for the amazing service. @USAirways #amazing
Delta,negative,The staff was incredibly rude and unhelpful. @Delta #awful
Delta,positive,Love the in-flight entertainment. @Delta #amazing
US Airways,neutral,Got from A to B safely. @USAirways
United,neutral,Average service. Could be better. @United
United,positive,Very comfortable seats and plenty of legroom. @United #amazing
United,neutral,Arrived on time. Standard experience. @United
Southwest,neutral,Arrived on time. Standard experience. @Southwest
US Airways,neutral,Got from A to B safely. @USAirways
Virgin America,neutral,Got from A to B safely. @VirginAmerica
American,neutral,Just another flight. @American
US Airways,positive,Love the in-flight entertainment. @USAirways #amazing
American,positive,Best flight ever. Will fly with you again. @American #amazing
American,neutral,Just another flight. @American
Virgin America,neutral,Arrived on time. Standard experience. @VirginAmerica
Virgin America,neutral,"Food was okay, pretty standard for airline food. @VirginAmerica"
Southwest,negative,Terrible customer service on the phone. @Southwest #awful
Delta,positive,I had a wonderful flight experience today! The crew was so polite. @Delta #amazing
Virgin America,negative,"Horrible boarding process, chaotic and stressful. @VirginAmerica #awful"
Southwest,positive,I had a wonderful flight experience today! The crew was so polite. @Southwest #amazing
American,positive,Smooth landing and great pilot. @American #amazing
US Airways,negative,Lost my luggage again... extremely disappointed. @USAirways #awful
US Airways,negative,Why is my flight always delayed without any notice? @USAirways #awful
Virgin America,positive,Love the in-flight entertainment. @VirginAmerica #amazing
Southwest,neutral,Got from A to B safely. @Southwest
US Airways,neutral,Just another flight. @USAirways
Virgin America,positive,Love the in-flight entertainment. @VirginAmerica #amazing
US Airways,positive,I had a wonderful flight experience today! The crew was so polite. @USAirways #amazing
American,neutral,"Flight was okay, nothing special. @American"
Virgin America,negative,Never flying with you again. Absolutely terrible. @VirginAmerica #awful
US Airways,neutral,Just another flight. @USAirways
Southwest,positive,Smooth landing and great pilot. @Southwest #amazing
American,positive,I had a wonderful flight experience today! The crew was so polite. @American #amazing
Virgin America,negative,"Horrible boarding process, chaotic and stressful. @VirginAmerica #awful"
US Airways,neutral,"Food was okay, pretty standard for airline food. @USAirways"
Virgin America,neutral,"Flight was okay, nothing special. @VirginAmerica"
Virgin America,negative,Never flying with you again. Absolutely terrible. @VirginAmerica #awful
US Airways,negative,Worst experience of my life. Flight delayed by 4 hours. @USAirways #awful
United,neutral,Average service. Could be better. @United
US Airways,negative,"Food was awful, could not eat anything. @USAirways #awful"
Southwest,positive,Great customer service at the gate. @Southwest #amazing
US Airways,neutral,Average service. Could be better. @USAirways
United,positive,Thank you for the amazing service. @United #amazing
American,positive,Thank you for the amazing service. @American #amazing
US Airways,positive,The food was surprisingly good. @USAirways #amazing
Southwest,negative,"Horrible boarding process, chaotic and stressful. @Southwest #awful"
United,negative,Worst experience of my life. Flight delayed by 4 hours. @United #awful
United,positive,Very comfortable seats and plenty of legroom. @United #amazing
American,negative,"Food was awful, could not eat anything. @American #awful"
Delta,neutral,Just another flight. @Delta
American,positive,Best flight ever. Will fly with you again. @American #amazing
American,negative,"Horrible boarding process, chaotic and stressful. @American #awful"
US Airways,positive,Love the in-flight entertainment. @USAirways #amazing
US Airways,negative,The staff was incredibly rude and unhelpful. @USAirways #awful
Delta,negative,"Food was awful, could not eat anything. @Delta #awful"
Delta,neutral,"Flight was okay, nothing special. @Delta"
Southwest,negative,Never flying with you again. Absolutely terrible. @Southwest #awful
United,negative,Why is my flight always delayed without any notice? @United #awful
Southwest,negative,Terrible customer service on the phone. @Southwest #awful
Delta,neutral,Just another flight. @Delta
Virgin America,positive,Very comfortable seats and plenty of legroom. @VirginAmerica #amazing
US Airways,neutral,"Flight was okay, nothing special. @USAirways"
US Airways,positive,Thank you for the amazing service. @USAirways #amazing
Virgin America,neutral,Boarding was standard. @VirginAmerica
US Airways,neutral,Boarding was standard. @USAirways
United,negative,Terrible customer service on the phone. @United #awful
United,neutral,"Flight was okay, nothing special. @United"
Southwest,positive,The food was surprisingly good. @Southwest #amazing
US Airways,negative,Lost my luggage again... extremely disappointed. @USAirways #awful
Delta,neutral,Got from A to B safely. @Delta
US Airways,neutral,Got from A to B safely. @USAirways
US Airways,positive,I had a wonderful flight experience today! The crew was so polite. @USAirways #amazing
Delta,neutral,Just another flight. @Delta
US Airways,neutral,Boarding was standard. @USAirways
Southwest,negative,Why is my flight always delayed without any notice? @Southwest #awful
American,positive,Smooth landing and great pilot. @American #amazing
American,neutral,Arrived on time. Standard experience. @American
American,negative,Why is my flight always delayed without any notice? @American #awful
United,positive,I had a wonderful flight experience today! The crew was so polite. @United #amazing
Virgin America,neutral,Average service. Could be better. @VirginAmerica
Delta,positive,Very comfortable seats and plenty of legroom. @Delta #amazing
Southwest,neutral,"Flight was okay, nothing special. @Southwest"
United,positive,I had a wonderful flight experience today! The crew was so polite. @United #amazing
American,positive,Smooth landing and great pilot. @American #amazing
US Airways,negative,Never flying with you again. Absolutely terrible. @USAirways #awful
Southwest,neutral,Arrived on time. Standard experience. @Southwest
United,positive,Super fast and efficient boarding process. Loved it! @United #amazing
US Airways,positive,Thank you for the amazing service. @USAirways #amazing
Virgin America,positive,Very comfortable seats and plenty of legroom. @VirginAmerica #amazing
Southwest,negative,"Horrible boarding process, chaotic and stressful. @Southwest #awful"
American,negative,Terrible customer service on the phone. @American #awful
American,negative,Why is my flight always delayed without any notice? @American #awful
American,negative,Terrible customer service on the phone. @American #awful
Virgin America,neutral,Boarding was standard. @VirginAmerica
American,negative,Never flying with you again. Absolutely terrible. @American #awful
Southwest,neutral,Arrived on time. Standard experience. @Southwest
American,negative,Never flying with you again. Absolutely terrible. @American #awful
American,neutral,"Food was okay, pretty standard for airline food. @American"
Delta,neutral,"Flight was okay, nothing special. @Delta"
Southwest,positive,I had a wonderful flight experience today! The crew was so polite. @Southwest #amazing
Southwest,neutral,Just another flight. @Southwest
Delta,negative,Worst experience of my life. Flight delayed by 4 hours. @Delta #awful
US Airways,neutral,"Flight was okay, nothing special. @USAirways"
Delta,positive,Love the in-flight entertainment. @Delta #amazing
US Airways,negative,Never flying with you again. Absolutely terrible. @USAirways #awful
Virgin America,neutral,Boarding was standard. @VirginAmerica
Virgin America,neutral,Average service. Could be better. @VirginAmerica
US Airways,positive,Super fast and efficient boarding process. Loved it! @USAirways #amazing
Delta,neutral,Got from A to B safely. @Delta
Virgin America,negative,Terrible customer service on the phone. @VirginAmerica #awful
United,neutral,Boarding was standard. @United
American,positive,Love the in-flight entertainment. @American #amazing
Southwest,neutral,Boarding was standard. @Southwest
US Airways,negative,The staff was incredibly rude and unhelpful. @USAirways #awful
United,negative,Never flying with you again. Absolutely terrible. @United #awful
Southwest,negative,The staff was incredibly rude and unhelpful. @Southwest #awful
US Airways,negative,Terrible customer service on the phone. @USAirways #awful
US Airways,neutral,Average service. Could be better. @USAirways
Southwest,positive,Great customer service at the gate. @Southwest #amazing
US Airways,neutral,Average service. Could be better. @USAirways
Delta,negative,The staff was incredibly rude and unhelpful. @Delta #awful
Virgin America,negative,Lost my luggage again... extremely disappointed. @VirginAmerica #awful
Delta,negative,"Food was awful, could not eat anything. @Delta #awful"
Delta,positive,Great customer service at the gate. @Delta #amazing
Virgin America,neutral,"Food was okay, pretty standard for airline food. @VirginAmerica"
Southwest,neutral,Arrived on time. Standard experience. @Southwest
Virgin America,positive,I had a wonderful flight experience today! The crew was so polite. @VirginAmerica #amazing
Virgin America,negative,"Food was awful, could not eat anything. @VirginAmerica #awful"
Delta,negative,Never flying with you again. Absolutely terrible. @Delta #awful
US Airways,negative,Never flying with you again. Absolutely terrible. @USAirways #awful
American,neutral,Got from A to B safely. @American
Virgin America,negative,Terrible customer service on the phone. @VirginAmerica #awful
Virgin America,negative,The staff was incredibly rude and unhelpful. @VirginAmerica #awful
US Airways,neutral,"Food was okay, pretty standard for airline food. @USAirways"
American,negative,Seats are too small and uncomfortable. @American #awful
United,positive,Great customer service at the gate. @United #amazing
American,neutral,"Food was okay, pretty standard for airline food. @American"
Virgin America,negative,Terrible customer service on the phone. @VirginAmerica #awful
Delta,positive,Smooth landing and great pilot. @Delta #amazing
Southwest,negative,Lost my luggage again... extremely disappointed. @Southwest #awful
Delta,neutral,Boarding was standard. @Delta
Southwest,negative,Lost my luggage again... extremely disappointed. @Southwest #awful
United,positive,Love the in-flight entertainment. @United #amazing
Southwest,negative,Seats are too small and uncomfortable. @Southwest #awful
Southwest,negative,Seats are too small and uncomfortable. @Southwest #awful
US Airways,neutral,Arrived on time. Standard experience. @USAirways
US Airways,positive,Very comfortable seats and plenty of legroom. @USAirways #amazing
Virgin America,negative,Lost my luggage again... extremely disappointed. @VirginAmerica #awful
Delta,negative,"Horrible boarding process, chaotic and stressful. @Delta #awful"
Southwest,neutral,Boarding was standard. @Southwest
Delta,negative,Never flying with you again. Absolutely terrible. @Delta #awful
Virgin America,neutral,"Flight was okay, nothing special. @VirginAmerica"
Delta,positive,Great customer service at the gate. @Delta #amazing
Delta,neutral,Arrived on time. Standard experience. @Delta
Virgin America,negative,Why is my flight always delayed without any notice? @VirginAmerica #awful
Southwest,positive,Love the in-flight entertainment. @Southwest #amazing
Southwest,negative,Never flying with you again. Absolutely terrible. @Southwest #awful
Southwest,positive,Thank you for the amazing service. @Southwest #amazing
American,positive,Very comfortable seats and plenty of legroom. @American #amazing
Southwest,neutral,Arrived on time. Standard experience. @Southwest
Virgin America,positive,Love the in-flight entertainment. @VirginAmerica #amazing
Delta,negative,Worst experience of my life. Flight delayed by 4 hours. @Delta #awful
United,negative,"Food was awful, could not eat anything. @United #awful"
US Airways,positive,I had a wonderful flight experience today! The crew was so polite. @USAirways #amazing
Delta,positive,I had a wonderful flight experience today! The crew was so polite. @Delta #amazing
US Airways,negative,Why is my flight always delayed without any notice? @USAirways #awful
American,positive,Great customer service at the gate. @American #amazing
United,neutral,Boarding was standard. @United
US Airways,positive,Love the in-flight entertainment. @USAirways #amazing
American,positive,Very comfortable seats and plenty of legroom. @American #amazing
United,neutral,"Flight was okay, nothing special. @United"
Virgin America,neutral,Got from A to B safely. @VirginAmerica
Delta,neutral,Boarding was standard. @Delta
Virgin America,negative,Seats are too small and uncomfortable. @VirginAmerica #awful
United,neutral,Arrived on time. Standard experience. @United
Virgin America,positive,Love the in-flight entertainment. @VirginAmerica #amazing
American,positive,Very comfortable seats and plenty of legroom. @American #amazing
US Airways,positive,Great customer service at the gate. @USAirways #amazing
American,negative,Never flying with you again. Absolutely terrible. @American #awful
Delta,negative,The staff was incredibly rude and unhelpful. @Delta #awful
United,positive,Best flight ever. Will fly with you again. @United #amazing
United,neutral,Boarding was standard. @United
Delta,neutral,Boarding was standard. @Delta
Delta,negative,Worst experience of my life. Flight delayed by 4 hours. @Delta #awful
Delta,neutral,Just another flight. @Delta
United,neutral,"Food was okay, pretty standard for airline food. @United"
US Airways,negative,Why is my flight always delayed without any notice? @USAirways #awful
Delta,neutral,Got from A to B safely. @Delta
US Airways,neutral,Just another flight. @USAirways
American,neutral,"Flight was okay, nothing special. @American"
American,negative,Seats are too small and uncomfortable. @American #awful
American,neutral,Boarding was standard. @American
Delta,neutral,"Food was okay, pretty standard for airline food. @Delta"
Virgin America,negative,Lost my luggage again... extremely disappointed. @VirginAmerica #awful
US Airways,neutral,Arrived on time. Standard experience. @USAirways
Southwest,neutral,Boarding was standard. @Southwest
American,negative,Worst experience of my life. Flight delayed by 4 hours. @American #awful
Virgin America,negative,Why is my flight always delayed without any notice? @VirginAmerica #awful
Delta,positive,Very comfortable seats and plenty of legroom. @Delta #amazing
US Airways,positive,Love the in-flight entertainment. @USAirways #amazing
United,positive,Thank you for the amazing service. @United #amazing
Southwest,neutral,"Food was okay, pretty standard for airline food. @Southwest"
United,positive,Very comfortable seats and plenty of legroom. @United #amazing
United,positive,Smooth landing and great pilot. @United #amazing
US Airways,neutral,"Food was okay, pretty standard for airline food. @USAirways"
Delta,negative,Seats are too small and uncomfortable. @Delta #awful
Virgin America,negative,Lost my luggage again... extremely disappointed. @VirginAmerica #awful
Southwest,neutral,"Food was okay, pretty standard for airline food. @Southwest"
American,negative,Worst experience of my life. Flight delayed by 4 hours. @American #awful
US Airways,negative,Never flying with you again. Absolutely terrible. @USAirways #awful
US Airways,neutral,Got from A to B safely. @USAirways
Delta,positive,Best flight ever. Will fly with you again. @Delta #amazing
Southwest,neutral,Just another flight. @Southwest
Virgin America,positive,The food was surprisingly good. @VirginAmerica #amazing
Delta,neutral,Arrived on time. Standard experience. @Delta
Delta,negative,The staff was incredibly rude and unhelpful. @Delta #awful
Virgin America,neutral,"Flight was okay, nothing special. @VirginAmerica"
Virgin America,negative,Terrible customer service on the phone. @VirginAmerica #awful
US Airways,neutral,Arrived on time. Standard experience. @USAirways
Southwest,negative,Terrible customer service on the phone. @Southwest #awful
Virgin America,neutral,"Flight was okay, nothing special. @VirginAmerica"
Southwest,neutral,Average service. Could be better. @Southwest
American,positive,Great customer service at the gate. @American #amazing
US Airways,neutral,Boarding was standard. @USAirways
Southwest,negative,Lost my luggage again... extremely disappointed. @Southwest #awful
Southwest,neutral,Just another flight. @Southwest
American,positive,Best flight ever. Will fly with you again. @American #amazing
Southwest,neutral,Just another flight. @Southwest
Southwest,neutral,Average service. Could be better. @Southwest
Delta,positive,Super fast and efficient boarding process. Loved it! @Delta #amazing
Virgin America,neutral,Arrived on time. Standard experience. @VirginAmerica
Southwest,negative,"Horrible boarding process, chaotic and stressful. @Southwest #awful"
Southwest,negative,The staff was incredibly rude and unhelpful. @Southwest #awful
American,positive,Love the in-flight entertainment. @American #amazing
United,neutral,Got from A to B safely. @United
American,negative,Lost my luggage again... extremely disappointed. @American #awful
Virgin America,positive,Very comfortable seats and plenty of legroom. @VirginAmerica #amazing
American,negative,"Horrible boarding process, chaotic and stressful. @American #awful"
American,positive,Best flight ever. Will fly with you again. @American #amazing
US Airways,neutral,Arrived on time. Standard experience. @USAirways
Delta,positive,Very comfortable seats and plenty of legroom. @Delta #amazing
United,neutral,Got from A to B safely. @United
Southwest,neutral,"Food was okay, pretty standard for airline food. @Southwest"
United,positive,Smooth landing and great pilot. @United #amazing
US Airways,negative,"Food was awful, could not eat anything. @USAirways #awful"
Southwest,negative,Why is my flight always delayed without any notice? @Southwest #awful
American,negative,Worst experience of my life. Flight delayed by 4 hours. @American #awful
United,positive,The food was surprisingly good. @United #amazing
American,positive,Great customer service at the gate. @American #amazing
Virgin America,negative,"Horrible boarding process, chaotic and stressful. @VirginAmerica #awful"
United,neutral,"Flight was okay, nothing special. @United"
US Airways,neutral,Got from A to B safely. @USAirways
Delta,negative,Never flying with you again. Absolutely terrible. @Delta #awful
Delta,neutral,Arrived on time. Standard experience. @Delta
US Airways,positive,The food was surprisingly good. @USAirways #amazing
Southwest,negative,"Food was awful, could not eat anything. @Southwest #awful"
United,negative,Worst experience of my life. Flight delayed by 4 hours. @United #awful
US Airways,negative,Never flying with you again. Absolutely terrible. @USAirways #awful
American,positive,The food was surprisingly good. @American #amazing
Southwest,neutral,Boarding was standard. @Southwest
Delta,negative,Terrible customer service on the phone. @Delta #awful
American,neutral,"Flight was okay, nothing special. @American"
American,negative,Never flying with you again. Absolutely terrible. @American #awful
Delta,positive,Smooth landing and great pilot. @Delta #amazing
American,negative,Never flying with you again. Absolutely terrible. @American #awful
Delta,neutral,Arrived on time. Standard experience. @Delta
US Airways,neutral,Got from A to B safely. @USAirways
US Airways,negative,Why is my flight always delayed without any notice? @USAirways #awful
United,positive,Smooth landing and great pilot. @United #amazing
American,positive,Great customer service at the gate. @American #amazing
US Airways,neutral,Got from A to B safely. @USAirways
United,neutral,"Food was okay, pretty standard for airline food. @United"
American,neutral,Got from A to B safely. @American
American,neutral,"Food was okay, pretty standard for airline food. @American"
Delta,neutral,"Flight was okay, nothing special. @Delta"
Virgin America,positive,Best flight ever. Will fly with you again. @VirginAmerica #amazing
American,negative,"Horrible boarding process, chaotic and stressful. @American #awful"
Southwest,neutral,Just another flight. @Southwest
Southwest,negative,"Food was awful, could not eat anything. @Southwest #awful"
Southwest,positive,Very comfortable seats and plenty of legroom. @Southwest #amazing
Southwest,positive,The food was surprisingly good. @Southwest #amazing
American,negative,"Horrible boarding process, chaotic and stressful. @American #awful"
United,negative,Lost my luggage again... extremely disappointed. @United #awful
American,positive,Best flight ever. Will fly with you again. @American #amazing
American,neutral,Average service. Could be better. @American
Virgin America,positive,The food was surprisingly good. @VirginAmerica #amazing
United,positive,Super fast and efficient boarding process. Loved it! @United #amazing
American,negative,Lost my luggage again... extremely disappointed. @American #awful
American,positive,Very comfortable seats and plenty of legroom. @American #amazing
Virgin America,negative,Never flying with you again. Absolutely terrible. @VirginAmerica #awful
Virgin America,positive,Very comfortable seats and plenty of legroom. @VirginAmerica #amazing
Delta,positive,Smooth landing and great pilot. @Delta #amazing
United,negative,Why is my flight always delayed without any notice? @United #awful
American,negative,"Horrible boarding process, chaotic and stressful. @American #awful"
Delta,negative,"Food was awful, could not eat anything. @Delta #awful"
US Airways,positive,Smooth landing and great pilot. @USAirways #amazing
United,positive,I had a wonderful flight experience today! The crew was so polite. @United #amazing
Southwest,neutral,Just another flight. @Southwest
Virgin America,positive,I had a wonderful flight experience today! The crew was so polite. @VirginAmerica #amazing
Delta,positive,Smooth landing and great pilot. @Delta #amazing
American,positive,Best flight ever. Will fly with you again. @American #amazing
US Airways,positive,Best flight ever. Will fly with you again. @USAirways #amazing
American,positive,Love the in-flight entertainment. @American #amazing
United,neutral,Average service. Could be better. @United
Southwest,negative,"Food was awful, could not eat anything. @Southwest #awful"
American,neutral,Got from A to B safely. @American
Southwest,neutral,Got from A to B safely. @Southwest
Virgin America,negative,Terrible customer service on the phone. @VirginAmerica #awful
Southwest,positive,Best flight ever. Will fly with you again. @Southwest #amazing
